Province_State,Country,Last_Update,Confirmed,Deaths,Recovered,Province_State,Lat,Lon
"Bandera, Texas",US,2020-07-23,54,0,0,"Bandera, Texas",29.74619598,-99.24598147
"Banks, Georgia",US,2020-07-23,196,3,0,"Banks, Georgia",34.35607081,-83.49644388
"Banner, Nebraska",US,2020-07-23,2,0,0,"Banner, Nebraska",41.54634427,-103.7114332
"Bannock, Idaho",US,2020-07-23,221,1,0,"Bannock, Idaho",42.67002716,-112.2233311
"Baraga, Michigan",US,2020-07-23,5,0,0,"Baraga, Michigan",46.6720582,-88.36363591
"Barber, Kansas",US,2020-07-23,4,0,0,"Barber, Kansas",37.2288586,-98.68460053
"Barbour, Alabama",US,2020-07-23,487,4,0,"Barbour, Alabama",31.868263,-85.3871286
"Barbour, West Virginia",US,2020-07-23,26,1,0,"Barbour, West Virginia",39.1307219,-80.00350858
"Barceloneta, Puerto Rico",US,2020-07-23,40,0,0,"Barceloneta, Puerto Rico",18.445533,-66.56053100000001
"Barnes, North Dakota",US,2020-07-23,28,0,0,"Barnes, North Dakota",46.93579637,-98.06605978
"Barnstable, Massachusetts",US,2020-07-23,1644,154,0,"Barnstable, Massachusetts",41.72980578,-70.28854339
"Barnwell, South Carolina",US,2020-07-23,231,1,0,"Barnwell, South Carolina",33.26679302,-81.43584352
"Barranquitas, Puerto Rico",US,2020-07-23,135,0,0,"Barranquitas, Puerto Rico",18.201592,-66.30963
"Barren, Kentucky",US,2020-07-23,214,2,0,"Barren, Kentucky",36.96469836,-85.93338945
"Barron, Wisconsin",US,2020-07-23,82,2,0,"Barron, Wisconsin",45.42372701,-91.84833627
"Barrow, Georgia",US,2020-07-23,817,31,0,"Barrow, Georgia",33.99148694,-83.71436292
"Barry, Michigan",US,2020-07-23,160,2,0,"Barry, Michigan",42.59513984,-85.30834519
"Barry, Missouri",US,2020-07-23,173,0,0,"Barry, Missouri",36.70978521,-93.82919888
"Bartholomew, Indiana",US,2020-07-23,648,45,0,"Bartholomew, Indiana",39.20744865,-85.89558181
"Barton, Kansas",US,2020-07-23,81,3,0,"Barton, Kansas",38.47889676,-98.75636726
"Barton, Missouri",US,2020-07-23,51,0,0,"Barton, Missouri",37.50207671,-94.34757022
"Bartow, Georgia",US,2020-07-23,1214,50,0,"Bartow, Georgia",34.23732119,-84.83887523
"Bastrop, Texas",US,2020-07-23,1056,12,0,"Bastrop, Texas",30.10370699,-97.31206354
"Bates, Missouri",US,2020-07-23,24,1,0,"Bates, Missouri",38.25271289,-94.34113157
"Bath, Kentucky",US,2020-07-23,24,1,0,"Bath, Kentucky",38.14735938,-83.74588932
"Bath, Virginia",US,2020-07-23,2,0,0,"Bath, Virginia",38.05852573,-79.73912095
"Baxter, Arkansas",US,2020-07-23,48,0,0,"Baxter, Arkansas",36.28784385,-92.33782872
"Bay, Florida",US,2020-07-23,2269,13,0,"Bay, Florida",30.26548745,-85.62122584
"Bay, Michigan",US,2020-07-23,493,31,0,"Bay, Michigan",43.70639106,-83.98731479
